1812,"[183, 12, 4, 1904]"
34,"[7, 11, 4, 1904]"
48,"[42, 11, 4, 1904]"
2870,"[183, 12, 4, 1904]"
2831,"[130, 14, 182, 88, 4, 1904]"
2223,"[245, 11, 4, 1904]"
2350,"[430, 11, 4, 1904]"
2838,"[327, 130, 8, 4, 1904]"
2775,"[166, 12, 4, 1904]"
1651,"[1297, 6, 18, 11, 4, 1904]"
1967,"[170, 430, 332, 4, 1904]"
1696,"[1310, 11, 4, 1904]"
1150,"[134, 101, 12, 4, 1904]"
1798,"[183, 11, 4, 1904]"
367,"[399, 22, 4, 1904]"
902,"[236, 12, 4, 1904]"
2690,"[236, 46, 12, 4, 1904]"
1481,"[1229, 11, 4, 1904]"
70,"[42, 105, 11, 4, 1904]"
1252,"[1052, 12, 4, 1904]"
2791,"[166, 12, 4, 1904]"
943,"[245, 11, 4, 1904]"
1928,"[130, 14, 38, 39, 360, 12, 4, 1904]"
2284,"[511, 12, 4, 1904]"
2926,"[330, 12, 4, 1904]"
1531,"[496, 12, 4, 1904]"
696,"[183, 98, 11, 4, 1904]"
1265,"[212, 101, 12, 4, 1904]"
1352,"[1065, 12, 4, 1904]"
2290,"[1035, 12, 4, 1904]"
2122,"[13, 11, 4, 1904]"
2773,"[236, 12, 4, 1904]"
1935,"[430, 12, 4, 1904]"
649,"[319, 12, 4, 1904]"
899,"[236, 11, 4, 1904]"
1868,"[231, 12, 4, 1904]"
196,"[260, 227, 11, 4, 1904]"
2705,"[236, 14, 122, 84, 1343, 124, 396, 1789, 1142, 525, 4, 1904]"
2913,"[130, 12, 4, 1904]"
974,"[183, 12, 4, 1904]"
1982,"[183, 12, 4, 1904]"
638,"[319, 11, 4, 1904]"
2971,"[386, 12, 4, 1904]"
1085,"[171, 396, 12, 4, 1904]"
63,"[96, 12, 4, 1904]"
699,"[141, 746, 4, 1904]"
2008,"[1052, 11, 4, 1904]"
2025,"[134, 12, 4, 1904]"
2549,"[134, 12, 4, 1904]"
2680,"[360, 12, 4, 1904]"
828,"[319, 12, 4, 1904]"
2638,"[832, 12, 4, 1904]"
2524,"[134, 585, 4, 1904]"
2346,"[130, 2, 28, 4, 1904]"
861,"[832, 11, 4, 1904]"
910,"[183, 12, 4, 1904]"
1637,"[480, 12, 4, 1904]"
2715,"[183, 12, 4, 1904]"
673,"[243, 101, 12, 4, 1904]"
2829,"[1403, 177, 322, 12, 4, 1904]"
1262,"[183, 27, 22, 212, 12, 4, 1904]"
2001,"[1069, 12, 4, 1904]"
1444,"[183, 12, 4, 1904]"
2354,"[130, 14, 28, 4, 1904]"
1019,"[917, 65, 22, 4, 1904]"
2066,"[312, 2, 15, 4, 1904]"
452,"[183, 12, 4, 1904]"
2201,"[134, 14, 15, 4, 1904]"
2228,"[183, 44, 1234, 385, 12, 4, 1904]"
1713,"[1297, 12, 4, 1904]"
2362,"[183, 12, 4, 1904]"
493,"[327, 570, 307, 444, 571, 557, 8, 4, 1904]"
1469,"[183, 11, 4, 1904]"
65,"[96, 12, 4, 1904]"
2740,"[372, 11, 4, 1904]"
635,"[572, 11, 4, 1904]"
431,"[134, 252, 22, 158, 28, 4, 1904]"
1438,"[183, 11, 4, 1904]"
1148,"[134, 12, 4, 1904]"
2403,"[130, 12, 4, 1904]"
1331,"[319, 12, 4, 1904]"
2319,"[430, 12, 4, 1904]"
1206,"[319, 39, 1038, 12, 4, 1904]"
950,"[236, 12, 4, 1904]"
823,"[834, 12, 4, 1904]"
1027,"[130, 65, 925, 4, 1904]"
879,"[236, 11, 4, 1904]"
2246,"[5, 6, 130, 11, 4, 1904]"
2772,"[159, 12, 4, 1904]"
1202,"[183, 12, 4, 1904]"
834,"[832, 12, 4, 1904]"
2052,"[159, 12, 4, 1904]"
631,"[572, 11, 4, 1904]"
2105,"[832, 99, 1501, 332, 4, 1904]"
1878,"[1355, 11, 4, 1904]"
1958,"[1409, 1366, 1248, 11, 4, 1904]"
2842,"[183, 12, 4, 1904]"
1760,"[183, 11, 4, 1904]"
42,"[31, 65, 15, 4, 1904]"
2196,"[183, 12, 4, 1904]"
1871,"[231, 12, 4, 1904]"
1308,"[312, 152, 1066, 18, 1100, 11, 4, 1904]"
1222,"[183, 12, 4, 1904]"
2561,"[1065, 12, 4, 1904]"
1591,"[319, 12, 4, 1904]"
66,"[42, 11, 4, 1904]"
2851,"[1841, 11, 4, 1904]"
155,"[215, 12, 4, 1904]"
1941,"[430, 38, 39, 242, 12, 4, 1904]"
306,"[302, 14, 22, 158, 12, 4, 1904]"
1229,"[183, 11, 4, 1904]"
1335,"[319, 12, 4, 1904]"
1060,"[183, 12, 4, 1904]"
2130,"[42, 1509, 12, 4, 1904]"
231,"[301, 12, 4, 1904]"
1327,"[832, 12, 4, 1904]"
2486,"[683, 12, 4, 1904]"
753,"[319, 39, 183, 11, 4, 1904]"
1213,"[488, 12, 4, 1904]"
1618,"[1291, 12, 4, 1904]"
1663,"[183, 11, 4, 1904]"
1861,"[231, 12, 4, 1904]"
838,"[834, 12, 4, 1904]"
2656,"[130, 534, 129, 1023, 1775, 4, 1904]"
2844,"[1035, 12, 4, 1904]"
